Region;Brott;År;Period;Antal;/100 000 inv
Danderyd kommun;3-7 kap. Brott mot person;2022;Jan;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Feb;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Mar;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Apr;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Maj;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jun;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jul;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Aug;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Sep;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Okt;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Nov;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Dec;..;..;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Jan;7;21;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Feb;7;21;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Mar;10;31;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Apr;10;31;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Maj;7;21;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Jun;8;24;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Jul;10;31;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Aug;8;24;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Sep;17;52;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Okt;13;40;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Nov;17;52;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Dec;16;49;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jan;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Feb;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Mar;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Apr;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Maj;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jun;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jul;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Aug;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Sep;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Okt;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Nov;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Dec;..;..;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Jan;7;21;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Feb;7;21;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Mar;10;31;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Apr;10;31;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Maj;7;21;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Jun;8;24;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Jul;10;31;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Aug;8;24;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Sep;17;52;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Okt;13;40;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Nov;17;52;
Danderyd kommun;3 kap. Brott mot liv och hälsa;2022;Dec;16;49;
Danderyd kommun;därav misshandel inkl. grov;2022;Jan;7;21;
Danderyd kommun;därav misshandel inkl. grov;2022;Feb;5;15;
Danderyd kommun;därav misshandel inkl. grov;2022;Mar;9;27;
Danderyd kommun;därav misshandel inkl. grov;2022;Apr;9;27;
Danderyd kommun;därav misshandel inkl. grov;2022;Maj;5;15;
Danderyd kommun;därav misshandel inkl. grov;2022;Jun;6;18;
Danderyd kommun;därav misshandel inkl. grov;2022;Jul;9;27;
Danderyd kommun;därav misshandel inkl. grov;2022;Aug;7;21;
Danderyd kommun;därav misshandel inkl. grov;2022;Sep;16;49;
Danderyd kommun;därav misshandel inkl. grov;2022;Okt;13;40;
Danderyd kommun;därav misshandel inkl. grov;2022;Nov;12;37;
Danderyd kommun;därav misshandel inkl. grov;2022;Dec;16;49;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jan;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Feb;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Mar;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Apr;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Maj;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jun;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Jul;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Aug;..;..;
Danderyd kommun;3-7 kap. Brott mot person;2022;Sep;..;..;
